title,channelName,viewCount,likes,date,duration,type,url,commentsCount
Section 12 Cleaning and sanitization of outlet,Barbeque Nation,262,4,2020-05-30T09:33:39.000Z,0:01:08,video,https://www.youtube.com/watch?v=ESd8RRSSdcI,0
Barbeque in Box,Barbeque Nation,3375,47,2020-06-30T07:02:50.000Z,0:00:12,video,https://www.youtube.com/watch?v=ILRe26PRWXg,0
Section 5  Starter and beverage service,Barbeque Nation,408,9,2020-05-30T09:02:04.000Z,0:01:28,video,https://www.youtube.com/watch?v=3KZLCkEwBi4,2
Section 6   7  Main course service   Desert Service,Barbeque Nation,562,9,2020-05-30T09:07:26.000Z,0:01:26,video,https://www.youtube.com/watch?v=fwKyladYSoI,0
Barbequenation #NoCompromiseDining,Barbeque Nation,1097,8,2020-06-18T11:48:53.000Z,0:00:09,video,https://www.youtube.com/watch?v=DgXjxEYCGDE,0
Section 10 Main course and dessert pick up,Barbeque Nation,334,4,2020-05-30T09:18:13.000Z,0:01:18,video,https://www.youtube.com/watch?v=AgEoWXfzQbU,0
Section 11 Employee grooming and sanitization process,Barbeque Nation,699,27,2020-05-30T09:28:23.000Z,0:02:29,video,https://www.youtube.com/watch?v=zsim6HlvQZg,0
Section 3 Table Sanitization   Setup,Barbeque Nation,694,18,2020-05-30T08:51:31.000Z,0:01:23,video,https://www.youtube.com/watch?v=vBOhAydRZjE,1
Section 9   Billing,Barbeque Nation,397,8,2020-05-30T09:14:58.000Z,0:01:28,video,https://www.youtube.com/watch?v=gNnMVPbvd7I,0
Main Video,Barbeque Nation,2559,102,2020-05-30T08:06:13.000Z,0:07:48,video,https://www.youtube.com/watch?v=tUZnWQ8aQJk,5
Barbeque Nation's  2nd outlet at Agra,Barbeque Nation,1312,10,2020-02-06T10:52:46.000Z,0:00:14,video,https://www.youtube.com/watch?v=Y_YkshVoObI,0
Section 8  Birthday Celebration,Barbeque Nation,387,7,2020-05-30T09:11:48.000Z,0:00:41,video,https://www.youtube.com/watch?v=9JRGynLdKBE,1
Barbeque Nation coming soon at New Friends Colony (New Delhi),Barbeque Nation,976,9,2020-02-06T04:31:45.000Z,0:00:14,video,https://www.youtube.com/watch?v=wc99bjBTKfs,0
Section 1   Vallet Parking Corrected,Barbeque Nation,398,9,2020-05-30T08:37:54.000Z,0:01:07,video,https://www.youtube.com/watch?v=yfFwPP5_16M,0
Barbequedishaan,Barbeque Nation,275,19,2021-12-27T15:31:18.000Z,0:01:16,video,https://www.youtube.com/watch?v=0ngaDWzVx8s,0
Professor Shanku cast at Barbeque Nation.,Barbeque Nation,135,7,2020-01-30T10:01:18.000Z,0:00:45,video,https://www.youtube.com/watch?v=oAgsIHeBIIM,0
Barbeque Nation Smile Club,Barbeque Nation,212747,15,2020-02-04T09:54:24.000Z,0:00:10,video,https://www.youtube.com/watch?v=KUwQKzZ5h4g,0
Professor Shanko movie cast at Barbeque Nation,Barbeque Nation,332,16,2020-01-31T11:02:53.000Z,0:00:59,video,https://www.youtube.com/watch?v=oB-BWK2uYtM,0
Babeque Nation Ambala launch with Dr. Kirti Gupta.,Barbeque Nation,263,8,2020-01-30T05:54:05.000Z,0:00:52,video,https://www.youtube.com/watch?v=N8wtvs_DiY4,0
Succulent Paneer Tikka,Barbeque Nation,481,3,2020-07-07T06:31:56.000Z,0:00:12,video,https://www.youtube.com/watch?v=UlYYc9txAaw,0
Barbeque Nation Sea Food Festival (For Andhra Pradesh and Gujarat).,Barbeque Nation,313,9,2020-01-29T06:48:26.000Z,0:00:30,video,https://www.youtube.com/watch?v=dHlJBGulcLk,0
Barbeque Nation coming soon at Dwarka(New Delhi).,Barbeque Nation,838,18,2020-01-08T10:32:12.000Z,0:00:16,video,https://www.youtube.com/watch?v=1B-cAV5Z718,0
Barbeque Nation coming soon at Bathinda.,Barbeque Nation,951,19,2020-02-05T11:17:40.000Z,0:00:14,video,https://www.youtube.com/watch?v=AmSUYZt0-0o,0
"Barbeque Nation now in Gopalan Mall, Bangalore",Barbeque Nation,1028,20,2019-12-30T09:59:34.000Z,0:04:40,video,https://www.youtube.com/watch?v=Fe9p6zeWrok,0
Barbeque Nation X Usha Uthup_Hari Om Hari,Barbeque Nation,548,14,2019-12-16T12:31:33.000Z,0:00:18,video,https://www.youtube.com/watch?v=GNLvumI2RcA,0
NoCompromiseDining,Barbeque Nation,215,8,2020-06-03T12:54:43.000Z,0:00:13,video,https://www.youtube.com/watch?v=6fUBEThqekA,0
BBQ Nation Jhoom BBQ Jhoom New Year,Barbeque Nation,1071,22,2020-01-01T17:03:39.000Z,0:00:17,video,https://www.youtube.com/watch?v=M4j4w-W3eQY,0
Barbequenation -  #NoCompromiseDining,Barbeque Nation,659,22,2020-06-06T13:48:30.000Z,0:00:27,video,https://www.youtube.com/watch?v=W5fT66mcCwU,1
Section 14   Rest Room,Barbeque Nation,647,22,2020-05-30T09:43:34.000Z,0:01:10,video,https://www.youtube.com/watch?v=9B1GjbYjK9E,0
Happy Monday Tuesday,Barbeque Nation,8812,6,2019-11-08T12:53:29.000Z,0:00:10,video,https://www.youtube.com/watch?v=TqhNhsIuH1s,0
Barbeque Nation - NoCompromiseDining,Barbeque Nation,1468,50,2020-06-17T07:37:52.000Z,0:02:02,video,https://www.youtube.com/watch?v=I5dqVQCljL8,3
KOTHAPET launch...!!,Barbeque Nation,2303,20,2019-11-11T12:44:41.000Z,0:05:49,video,https://www.youtube.com/watch?v=tXfn0oYukU0,3
Barbeque Nation #JBJ,Barbeque Nation,3426,14,2019-12-14T06:50:06.000Z,0:00:14,video,https://www.youtube.com/watch?v=RPg--X2r55M,0
Coming soon at Haryana.,Barbeque Nation,1098,17,2019-11-29T10:48:53.000Z,0:00:16,video,https://www.youtube.com/watch?v=oFo5CO8jZ14,0
RJ Simran at Barbeque Nation,Barbeque Nation,792,20,2019-11-20T11:41:09.000Z,0:04:49,video,https://www.youtube.com/watch?v=FXm9LnXoDq8,1
Barbeque Nation coming soon at Gopalan mall(Bengaluru),Barbeque Nation,792,11,2019-11-07T11:53:12.000Z,0:00:13,video,https://www.youtube.com/watch?v=-5RxXqUYk5A,0
Bhopal Launch,Barbeque Nation,575,7,2019-11-12T12:01:57.000Z,0:01:39,video,https://www.youtube.com/watch?v=XYjp_nJ6d8I,0
Barbeque Nation X Usha Uthup_Rambha Ho Ho,Barbeque Nation,2124,21,2019-12-15T02:50:38.000Z,0:00:16,video,https://www.youtube.com/watch?v=YUPEFQvZuzA,0
Barbeque Nation | Diwali Ke Baad - #KyuNahiBarbeque,Barbeque Nation,518,6,2017-10-21T10:58:16.000Z,0:00:30,video,https://www.youtube.com/watch?v=2Q-xA08iENg,0
A Euro Trip with Barbeque Nation,Barbeque Nation,735,5,2017-12-19T11:45:40.000Z,0:01:10,video,https://www.youtube.com/watch?v=UJIzgAKZvjQ,0
December at Barbeque Nation | #YourTripOurWay,Barbeque Nation,258,2,2017-12-10T16:37:57.000Z,0:00:36,video,https://www.youtube.com/watch?v=CJ2q1B6k64k,0
The Last Blast at Barbeque Nation,Barbeque Nation,722,3,2018-12-20T06:18:13.000Z,0:00:31,video,https://www.youtube.com/watch?v=2481VUzRd6U,0
Barbeque Nation | Celebrating both Seafood and MA Road food festival.,Barbeque Nation,979,9,2018-01-31T13:55:36.000Z,0:01:00,video,https://www.youtube.com/watch?v=mEI83M3rceU,0
CENTURY OF THE CENTURY!,Barbeque Nation,442,9,2018-03-26T11:40:36.000Z,0:01:36,video,https://www.youtube.com/watch?v=-K2mjz4MnT0,1
Barbeque Nation transforms itself for better,Barbeque Nation,862,7,2017-08-23T06:05:33.000Z,0:00:33,video,https://www.youtube.com/watch?v=fCWm6Dh-w94,0
Celebrate this Diwali with family @Barbeque Nation,Barbeque Nation,3629,54,2017-10-12T09:27:47.000Z,0:00:38,video,https://www.youtube.com/watch?v=FtKCRx37TMA,0
Barbeque Nation - #1 buffet grill barbeque restaurant near you. Exciting Offers on lunch dinner,Barbeque Nation,700,3,2019-05-24T06:27:54.000Z,0:00:07,video,https://www.youtube.com/watch?v=_DP81hGYJVc,0
Barbeque Nation - Amritsar,Barbeque Nation,3715,7,2016-03-30T08:32:37.000Z,0:00:17,video,https://www.youtube.com/watch?v=nP2Zx840JHI,0
Mother's Day 2017 - #MoMe,Barbeque Nation,211,2,2017-05-03T09:56:34.000Z,0:02:35,video,https://www.youtube.com/watch?v=EeFP3p8ASpY,0
Barbeque Nation Innovations,Barbeque Nation,930,10,2017-06-08T11:35:06.000Z,0:02:12,video,https://www.youtube.com/watch?v=cHR9kk62exA,2
