record_id,city_name,branch_id,branch_name,package_name,price,min_pax,max_pax,applicable_days,slot_timings,full_address,terms_summary,scraped_at
38,Bangalore,12,Indiranagar,Hottest Deal(4@3199),₹3199,4,999,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
39,Bangalore,12,Indiranagar,Hottest Deal(4@3399),₹3399,4,10000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
40,Bangalore,12,Indiranagar,Hottest Deal(4@3599),₹3599,4,10000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
41,Bangalore,12,Indiranagar,Hottest Deal(4@3799),₹3799,3,1000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
42,Bangalore,12,Indiranagar,Hottest Deal(4@3999),₹3999,3,1000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
43,Bangalore,12,Indiranagar,Hottest Deal(4@4099),₹4099,3,1000,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
44,Bangalore,12,Indiranagar,Hottest Deal(4@4199),₹4199,4,999,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Limited Period Offer. Pre-book now to unlock this exclusive deal!,2026-07-30T07:42:16.964Z
45,Bangalore,12,Indiranagar,₹100 Off Per Person,₹100,7,200,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Top Deal of the Day — Save ₹100 Per Person & Enjoy Unlimited Buffet.,2026-07-30T07:42:16.964Z
46,Bangalore,12,Indiranagar,Fantastic 4@1606,₹1606,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00 AM - 11:00 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹402 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
47,Bangalore,12,Indiranagar,Fantastic 4@1629,₹1629,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹407 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
48,Bangalore,12,Indiranagar,Fantastic 4@1659,₹1659,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹415 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
49,Bangalore,12,Indiranagar,Fantastic 4@1719,₹1719,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹430per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
50,Bangalore,12,Indiranagar,Fantastic 4@1789,₹1789,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹447 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
51,Bangalore,12,Indiranagar,Fantastic 4@1839,₹1839,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹460 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
52,Bangalore,12,Indiranagar,Fantastic 4@1879,₹1879,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹470 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
53,Bangalore,12,Indiranagar,Fantastic 4@1929,₹1929,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹482 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
54,Bangalore,12,Indiranagar,Fantastic 4@1969,₹1969,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10:30 AM - 11:45 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹492 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
55,Bangalore,12,Indiranagar,Fantastic 4@2019,₹2019,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹505 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
56,Bangalore,12,Indiranagar,Fantastic 4@2059,₹2059,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹515 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
57,Bangalore,12,Indiranagar,Fantastic 4@2079,₹2079,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹ 520 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
58,Bangalore,12,Indiranagar,Fantastic 4@2109,₹2109,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹527 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
59,Bangalore,12,Indiranagar,Fantastic 4@2149,₹2149,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹537 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
60,Bangalore,12,Indiranagar,Fantastic 4@2199,₹2199,4,100,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 AM - 11:59 PM,"No.4005, HAL 2nd stage, 100 feet road, Indiranagar, Bengaluru- 560038",Group offer for 4 • ₹550 per person • Includes veg & non-veg buffet,2026-07-30T07:42:16.964Z
